study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,final_score
7.97,73.88,68.99,6,7.74,1,44.37
4.95,88.07,68.05,7,4.65,1,37.96
8.73,95.17,84.71,3,8.03,1,37.95
7.28,86.03,77.63,7,8.68,1,40.95
1.85,98.16,36.59,10,7.03,0,41.32
9.78,89.1,37.97,3,7.55,0,27.9
7.85,93.34,71.09,4,7.57,1,41.28
8.07,55.71,64.17,8,8.96,1,43.14
2.15,86.62,50.61,7,5.71,1,40.49
5.05,72.0,60.12,8,4.81,1,35.12
4.34,77.66,80.47,7,6.6,0,40.17
9.34,82.71,84.6,8,6.67,0,45.62
6.79,98.49,68.67,7,4.89,1,45.65
8.4,99.23,58.12,2,7.07,1,46.0
4.99,64.41,51.24,8,4.07,0,28.49
3.05,86.69,66.32,6,8.64,0,43.11
5.99,87.5,53.88,2,5.32,0,34.86
1.57,67.32,68.85,5,4.2,0,25.25
8.45,56.19,75.6,5,4.54,1,36.35
6.68,52.05,38.96,2,5.2,1,16.84
7.82,88.87,35.06,10,5.37,1,24.63
4.19,74.48,47.74,4,4.16,1,18.8
9.74,99.28,88.67,4,5.4,0,43.24
9.04,73.25,73.78,5,4.96,0,37.7
8.01,98.9,45.32,9,5.89,0,38.4
2.75,70.58,88.42,8,5.93,0,42.52
5.2,89.68,63.2,8,5.7,1,49.68
1.39,54.24,63.57,4,5.64,0,20.0
2.39,77.77,91.13,9,4.45,0,43.9
7.15,90.1,38.57,9,4.13,1,35.09
7.7,96.24,47.91,6,5.01,1,33.94
9.71,91.13,70.15,6,7.78,0,43.4
3.93,51.85,46.73,2,8.95,0,14.69
4.33,68.64,75.77,8,8.64,1,48.4
5.23,52.43,47.85,10,6.52,1,26.44
2.71,55.46,40.95,6,6.66,1,31.91
2.17,83.77,47.42,6,5.57,0,29.95
5.28,85.66,60.36,6,7.87,0,41.85
3.04,88.69,45.57,2,7.82,0,29.49
7.03,93.27,43.08,7,8.22,1,38.35
4.93,86.97,86.62,8,8.48,1,49.0
8.49,90.04,54.22,10,6.17,1,42.58
7.3,52.45,56.65,10,7.83,1,35.02
3.81,61.73,38.32,6,8.03,1,23.18
8.49,81.09,56.44,10,5.54,0,36.68
8.24,92.91,50.89,6,8.65,0,35.72
4.49,50.23,71.63,7,4.47,1,40.44
3.59,75.73,47.32,7,8.97,0,32.05
7.14,83.86,88.3,10,7.85,0,56.34
2.26,51.48,90.78,8,4.47,0,34.84
2.8,70.07,40.99,3,7.28,0,24.37
1.07,94.78,41.44,2,4.17,1,23.22
8.08,83.58,41.92,5,7.85,1,31.66
6.98,61.88,72.17,6,8.0,1,38.7
7.35,92.64,42.32,8,7.01,0,41.65
8.03,67.4,86.14,6,8.28,0,42.78
5.13,92.67,80.26,6,4.49,0,48.18
6.12,64.95,84.19,10,5.38,0,43.41
2.26,79.52,66.56,5,6.07,1,43.64
2.03,69.85,94.8,6,4.21,1,42.22
7.02,63.74,37.65,7,6.24,1,36.04
5.24,94.33,59.08,6,5.33,0,35.25
6.09,59.38,54.44,10,5.96,1,29.78
7.88,54.24,91.92,10,6.13,0,36.62
6.71,67.1,69.61,6,8.4,0,45.66
5.98,85.88,83.37,6,5.35,1,48.57
6.03,90.37,45.22,7,8.47,0,34.53
3.74,99.94,93.72,3,6.13,0,52.62
1.28,64.82,64.92,5,5.64,1,34.59
4.93,70.4,64.62,3,6.51,0,38.55
2.93,56.84,93.25,3,6.09,1,31.5
4.68,78.74,57.84,2,5.29,0,27.61
8.68,99.88,58.85,7,6.51,1,42.17
3.11,85.04,70.09,2,4.76,0,25.59
1.52,79.76,42.68,7,5.76,0,32.63
3.53,69.62,54.27,5,6.83,1,30.38
3.64,95.76,46.59,5,6.07,0,36.05
6.96,74.85,41.2,8,8.12,1,42.93
6.01,56.72,86.97,6,5.28,0,34.3
8.06,68.27,70.36,8,8.85,1,40.27
6.98,53.36,56.52,8,7.92,1,32.66
4.66,60.1,59.52,2,8.84,0,31.49
8.33,50.88,60.89,3,8.19,0,24.19
2.5,72.66,72.99,7,4.71,1,35.24
1.2,81.73,90.61,10,6.63,1,54.5
1.81,67.16,90.97,3,4.85,0,37.38
7.5,71.02,58.49,2,8.09,0,21.96
5.16,97.96,54.76,10,6.92,1,39.6
2.45,87.6,62.06,10,5.32,1,47.75
5.51,77.04,69.08,3,8.65,0,37.84
2.37,64.23,62.71,5,4.58,0,24.6
7.27,94.85,74.53,7,6.82,1,46.94
5.02,61.75,68.26,3,7.61,0,30.6
4.43,66.27,54.24,4,4.29,0,27.72
3.71,95.45,55.74,5,6.99,1,33.94
6.67,76.48,57.72,7,8.08,0,32.37
4.26,87.12,40.68,4,4.34,1,29.88
1.79,79.54,44.96,5,6.56,0,27.71
2.06,82.67,78.39,4,5.29,1,42.37
9.66,64.97,58.35,8,7.31,0,28.58
9.18,62.07,47.87,3,4.59,1,25.94
7.3,66.12,68.76,4,8.69,0,38.78
3.39,57.77,80.33,4,8.47,0,36.65
9.72,93.72,50.45,10,4.93,1,41.51
8.01,64.16,84.61,10,5.62,1,43.53
7.45,78.07,90.65,6,6.94,1,44.01
5.04,89.6,70.84,3,7.59,0,38.87
3.45,89.19,75.14,8,6.21,0,48.23
1.87,71.92,38.15,6,4.78,1,24.96
9.12,73.81,91.73,9,4.52,1,43.59
5.1,99.74,58.55,5,9.0,0,39.31
2.82,83.73,90.43,10,6.28,1,51.58
3.75,90.73,69.74,9,8.36,1,46.02
6.21,95.13,35.28,4,6.41,1,33.74
2.59,89.38,37.31,8,8.61,1,37.94
8.71,59.26,75.83,4,4.44,1,36.87
7.83,78.11,68.76,5,4.57,1,42.86
7.48,55.09,36.59,4,8.65,1,27.51
4.89,82.65,79.61,8,8.74,1,44.39
6.65,97.77,86.13,4,5.57,1,44.46
6.26,75.64,64.79,7,5.78,0,35.06
6.85,71.65,62.95,7,6.26,1,34.97
1.76,51.79,35.33,8,6.08,1,17.42
4.74,97.99,82.2,10,4.95,1,49.47
1.37,55.15,54.84,2,8.49,1,24.19
5.45,52.05,87.73,10,5.27,0,35.42
3.97,62.3,57.38,2,7.53,1,27.24
2.3,53.28,68.9,6,4.34,0,31.92
1.93,72.76,51.22,5,4.19,0,26.68
6.29,75.8,44.64,7,7.27,0,40.35
2.54,65.63,81.49,8,5.7,1,41.09
9.33,52.55,64.8,9,7.28,1,34.22
6.23,55.58,67.19,5,4.47,1,29.92
4.12,69.23,92.92,10,8.75,0,48.8
6.32,53.03,92.81,4,7.74,0,39.02
1.21,84.91,86.34,3,8.38,1,53.56
9.63,60.35,46.26,5,4.68,0,19.62
5.34,65.1,70.66,6,5.6,1,38.95
8.04,69.71,87.69,8,5.84,1,45.72
1.74,70.83,57.47,9,6.69,1,29.61
5.38,50.08,41.07,4,5.48,0,20.52
5.42,55.6,83.66,4,4.3,0,36.5
9.44,93.14,63.91,10,5.84,0,40.02
6.15,50.06,68.86,5,5.27,1,29.64
5.26,75.41,93.93,4,5.93,0,34.96
3.4,74.48,71.43,10,4.98,1,35.91
3.98,66.65,60.5,6,5.31,0,33.8
5.69,71.57,57.2,10,7.13,0,33.86
4.95,89.03,60.06,10,5.94,0,35.74
1.19,92.06,42.1,10,5.73,1,37.66
8.44,63.02,82.69,7,6.67,1,39.34
9.07,66.12,85.26,9,7.86,0,41.87
2.26,62.12,52.06,10,5.89,1,34.9
